id,title,isbn,publish_date,price_value,price_currency
389,Ruby in 24 Hours,978-100-000-038-9,2021-12-04,78.56,GBP
390,GCP Fundamentals,978-100-000-039-0,2021-02-22,61.19,EUR
391,Rust Patterns,978-100-000-039-1,2021-09-09,38.00,GBP
392,Erlang Mastery,978-100-000-039-2,2022-02-17,26.50,EUR
393,React Native Advanced,978-100-000-039-3,2020-07-14,14.39,EUR
394,Java for Beginners,978-100-000-039-4,2020-01-11,96.80,EUR
395,Docker Patterns,978-100-000-039-5,2020-01-09,54.16,EUR
396,GCP for Beginners,978-100-000-039-6,2020-06-07,88.48,USD
397,AI Advanced,978-100-000-039-7,2021-09-06,33.68,USD
398,Laravel in 24 Hours,978-100-000-039-8,2021-07-30,14.97,USD
399,Java Crash Course,978-100-000-039-9,2021-01-09,24.08,GBP
400,Swift Crash Course,978-100-000-040-0,2022-02-08,10.43,USD
401,Django Mastery,978-100-000-040-1,2020-08-07,33.47,GBP
402,JavaScript Essentials,978-100-000-040-2,2021-05-27,78.10,GBP
403,Cybersecurity Demystified,978-100-000-040-3,2020-02-22,99.42,USD
404,Machine Learning Crash Course,978-100-000-040-4,2020-11-25,83.04,EUR
405,Python for Beginners,978-100-000-040-5,2020-05-19,77.61,USD
406,C# Handbook,978-100-000-040-6,2022-01-05,72.23,USD
407,Ruby Mastery,978-100-000-040-7,2022-02-04,15.75,USD
408,Ruby Essentials,978-100-000-040-8,2020-12-29,99.71,EUR
409,Flutter Crash Course,978-100-000-040-9,2020-03-21,74.60,USD
410,PHP Essentials,978-100-000-041-0,2020-05-01,30.45,USD
411,Flask Handbook,978-100-000-041-1,2020-08-09,59.59,USD
412,Kubernetes in Action,978-100-000-041-2,2022-01-26,25.31,GBP
413,Cybersecurity Advanced,978-100-000-041-3,2021-05-29,35.35,USD
414,AWS Essentials,978-100-000-041-4,2021-02-11,39.12,GBP
415,Go Demystified,978-100-000-041-5,2022-04-06,74.64,USD
416,Ruby Fundamentals,978-100-000-041-6,2020-05-11,73.77,GBP
417,Elixir Patterns,978-100-000-041-7,2022-08-15,88.82,EUR
418,Docker Demystified,978-100-000-041-8,2020-07-14,18.28,GBP
419,Ruby Deep Dive,978-100-000-041-9,2020-03-04,62.39,USD
420,GCP Crash Course,978-100-000-042-0,2021-03-05,64.01,USD
421,Machine Learning Patterns,978-100-000-042-1,2022-03-16,57.00,EUR
422,Azure in Action,978-100-000-042-2,2020-07-28,29.57,USD
423,React Native Cookbook,978-100-000-042-3,2021-09-24,40.84,EUR
424,C# Crash Course,978-100-000-042-4,2021-02-25,18.76,GBP
425,GCP Mastery,978-100-000-042-5,2020-08-21,30.12,USD
426,React Native Crash Course,978-100-000-042-6,2020-10-01,22.11,EUR
427,PHP Guide,978-100-000-042-7,2021-04-28,72.09,GBP
428,Rust Cookbook,978-100-000-042-8,2021-01-01,53.34,EUR
429,Rust Mastery,978-100-000-042-9,2020-09-10,95.78,USD
430,Django in 24 Hours,978-100-000-043-0,2020-08-18,28.75,EUR
431,Elixir Deep Dive,978-100-000-043-1,2021-02-13,97.75,USD
432,Kotlin Handbook,978-100-000-043-2,2022-05-13,17.21,GBP
433,Go in 24 Hours,978-100-000-043-3,2022-01-23,52.74,EUR
434,Ruby Mastery,978-100-000-043-4,2021-09-25,61.69,GBP
435,Laravel for Beginners,978-100-000-043-5,2020-12-28,54.02,USD
436,TypeScript Patterns,978-100-000-043-6,2021-03-28,74.18,GBP
437,Kubernetes Essentials,978-100-000-043-7,2022-05-12,60.51,GBP
438,Docker Essentials,978-100-000-043-8,2020-02-26,75.75,EUR
439,TypeScript Handbook,978-100-000-043-9,2021-01-27,49.27,EUR
440,Angular Advanced,978-100-000-044-0,2021-12-27,49.93,USD
441,C++ Cookbook,978-100-000-044-1,2022-02-16,41.72,EUR
442,C# Crash Course,978-100-000-044-2,2022-08-13,80.18,USD
443,Flask Guide,978-100-000-044-3,2022-05-21,20.24,EUR
444,Kubernetes Crash Course,978-100-000-044-4,2020-04-24,34.82,USD
445,Spring in 24 Hours,978-100-000-044-5,2020-04-07,54.95,GBP
446,C# for Beginners,978-100-000-044-6,2021-08-26,40.42,USD
447,Cybersecurity Fundamentals,978-100-000-044-7,2021-01-06,47.46,EUR
448,Go Advanced,978-100-000-044-8,2020-12-07,44.66,GBP
449,C# Crash Course,978-100-000-044-9,2021-04-16,87.99,GBP
450,Kubernetes Advanced,978-100-000-045-0,2020-11-12,49.62,EUR
451,AWS Patterns,978-100-000-045-1,2022-03-20,87.32,GBP
452,TypeScript for Beginners,978-100-000-045-2,2020-11-26,70.64,USD
453,JavaScript in 24 Hours,978-100-000-045-3,2020-09-17,88.98,EUR
454,Blockchain Guide,978-100-000-045-4,2020-07-28,80.19,EUR
455,Machine Learning Fundamentals,978-100-000-045-5,2022-04-08,15.38,EUR
456,Docker Deep Dive,978-100-000-045-6,2020-01-03,96.27,EUR
457,Java in Action,978-100-000-045-7,2020-06-10,36.11,GBP
458,Go in 24 Hours,978-100-000-045-8,2020-03-13,39.13,GBP
459,Flask Demystified,978-100-000-045-9,2020-09-17,43.12,EUR
460,AI for Beginners,978-100-000-046-0,2020-03-10,72.99,GBP
461,Cybersecurity Essentials,978-100-000-046-1,2021-02-20,94.44,USD
462,Machine Learning Demystified,978-100-000-046-2,2021-10-30,33.16,GBP
463,Go Mastery,978-100-000-046-3,2022-06-19,38.82,GBP
464,React Deep Dive,978-100-000-046-4,2021-01-19,88.32,GBP
465,Spring Demystified,978-100-000-046-5,2021-11-05,80.60,GBP
466,Machine Learning Essentials,978-100-000-046-6,2020-11-25,94.60,EUR
467,TypeScript Essentials,978-100-000-046-7,2020-10-14,33.55,EUR
468,C++ Deep Dive,978-100-000-046-8,2020-09-06,69.32,USD
469,Haskell Crash Course,978-100-000-046-9,2022-09-12,29.66,GBP
470,JavaScript in 24 Hours,978-100-000-047-0,2022-07-28,67.06,EUR
471,AI in Action,978-100-000-047-1,2020-10-24,37.25,EUR
472,AWS Guide,978-100-000-047-2,2022-03-28,89.42,EUR
473,Kubernetes Deep Dive,978-100-000-047-3,2020-12-04,41.93,USD
474,Laravel Fundamentals,978-100-000-047-4,2020-09-30,16.18,EUR
475,Flask Guide,978-100-000-047-5,2021-02-16,80.53,USD
476,Spring in 24 Hours,978-100-000-047-6,2021-12-09,15.77,USD
477,Kotlin Demystified,978-100-000-047-7,2021-09-10,53.58,GBP
478,AI in Action,978-100-000-047-8,2021-01-27,28.92,EUR
479,Laravel Patterns,978-100-000-047-9,2020-07-07,63.13,USD
480,Go in 24 Hours,978-100-000-048-0,2021-02-19,99.78,USD
481,Spring in 24 Hours,978-100-000-048-1,2022-04-11,39.82,USD
482,Elixir Guide,978-100-000-048-2,2021-10-04,20.12,GBP
483,Machine Learning Demystified,978-100-000-048-3,2020-03-18,93.71,USD
484,Ruby in Action,978-100-000-048-4,2021-12-31,15.06,USD
485,Ruby in Action,978-100-000-048-5,2020-01-15,75.71,GBP
486,Elixir Fundamentals,978-100-000-048-6,2020-11-23,15.32,USD
487,C# Guide,978-100-000-048-7,2020-09-19,32.17,GBP
488,Go Crash Course,978-100-000-048-8,2020-07-05,60.79,USD
489,C++ Advanced,978-100-000-048-9,2022-06-11,72.13,EUR
490,Blockchain Deep Dive,978-100-000-049-0,2021-07-26,74.96,USD
491,Vue Mastery,978-100-000-049-1,2021-10-04,57.61,GBP
492,AWS Fundamentals,978-100-000-049-2,2021-07-26,60.31,EUR
493,React in 24 Hours,978-100-000-049-3,2020-05-11,83.34,GBP
494,Rust in 24 Hours,978-100-000-049-4,2020-11-22,22.27,EUR
495,JavaScript Handbook,978-100-000-049-5,2022-09-06,22.41,GBP
496,TypeScript for Beginners,978-100-000-049-6,2020-04-02,80.76,EUR
497,Vue Essentials,978-100-000-049-7,2022-05-22,10.10,GBP
498,Erlang Patterns,978-100-000-049-8,2020-10-22,19.71,GBP
499,JavaScript in Action,978-100-000-049-9,2020-09-14,98.99,USD
500,PHP Handbook,978-100-000-050-0,2022-03-24,77.91,GBP
501,Azure Patterns,978-100-000-050-1,2020-12-01,14.63,GBP
502,Kubernetes Fundamentals,978-100-000-050-2,2020-12-03,35.18,USD
503,Ruby Advanced,978-100-000-050-3,2020-03-23,31.57,USD
504,GCP for Beginners,978-100-000-050-4,2022-02-28,25.19,EUR
505,Laravel Mastery,978-100-000-050-5,2021-05-15,60.04,EUR
506,React Native Cookbook,978-100-000-050-6,2022-04-24,23.41,GBP
507,GCP Fundamentals,978-100-000-050-7,2021-04-22,97.82,USD
508,Elixir Guide,978-100-000-050-8,2022-01-22,79.04,EUR
509,React Native Guide,978-100-000-050-9,2022-02-22,95.54,USD
510,Spring Guide,978-100-000-051-0,2022-04-24,26.16,EUR
511,Python in Action,978-100-000-051-1,2020-10-02,47.44,EUR
512,JavaScript Deep Dive,978-100-000-051-2,2020-12-06,44.13,GBP
513,Scala for Beginners,978-100-000-051-3,2021-05-04,56.69,EUR
514,Cybersecurity in 24 Hours,978-100-000-051-4,2021-02-15,35.13,EUR
515,Go Mastery,978-100-000-051-5,2022-02-09,27.16,EUR
516,Vue Cookbook,978-100-000-051-6,2020-01-24,81.31,USD
517,Azure Handbook,978-100-000-051-7,2021-12-29,47.94,EUR
518,Elixir Crash Course,978-100-000-051-8,2021-09-17,59.85,GBP
519,Ruby for Beginners,978-100-000-051-9,2021-10-14,34.08,USD
520,Scala for Beginners,978-100-000-052-0,2021-01-23,91.95,USD
521,React Demystified,978-100-000-052-1,2021-04-19,44.49,GBP
522,Scala Guide,978-100-000-052-2,2020-08-03,60.11,USD
523,React Native Demystified,978-100-000-052-3,2022-02-13,47.74,EUR
524,Flutter Crash Course,978-100-000-052-4,2021-02-08,13.66,GBP
525,Laravel Guide,978-100-000-052-5,2020-09-08,80.67,GBP
526,GCP Cookbook,978-100-000-052-6,2022-09-26,66.86,USD
527,Flask Deep Dive,978-100-000-052-7,2022-07-07,35.83,USD
528,Erlang in 24 Hours,978-100-000-052-8,2020-02-19,39.00,USD
529,Ruby for Beginners,978-100-000-052-9,2021-07-26,35.85,GBP
530,React Native Handbook,978-100-000-053-0,2020-04-25,52.70,EUR
531,Flask Cookbook,978-100-000-053-1,2022-06-27,73.90,EUR
532,Ruby Fundamentals,978-100-000-053-2,2022-04-10,33.66,EUR
533,Kotlin Essentials,978-100-000-053-3,2020-10-19,29.39,GBP
534,Docker Cookbook,978-100-000-053-4,2022-09-17,12.35,GBP
535,JavaScript Cookbook,978-100-000-053-5,2022-07-15,85.42,EUR
536,Blockchain in 24 Hours,978-100-000-053-6,2022-06-26,55.78,USD
537,AWS Crash Course,978-100-000-053-7,2021-01-12,11.74,EUR
538,Kotlin Guide,978-100-000-053-8,2020-09-25,71.99,GBP
539,Vue Essentials,978-100-000-053-9,2021-08-25,34.58,EUR
540,Elixir Essentials,978-100-000-054-0,2020-11-09,75.58,EUR
541,Scala in 24 Hours,978-100-000-054-1,2020-11-27,76.10,GBP
542,TypeScript Essentials,978-100-000-054-2,2022-01-15,39.76,USD
543,Cybersecurity Mastery,978-100-000-054-3,2020-12-21,63.38,EUR
544,Data Science Mastery,978-100-000-054-4,2020-02-18,73.72,GBP
545,Kotlin Handbook,978-100-000-054-5,2021-05-21,75.54,EUR
546,DevOps Advanced,978-100-000-054-6,2020-11-04,19.49,GBP
547,Data Science Fundamentals,978-100-000-054-7,2022-03-02,33.57,EUR
548,Kubernetes Fundamentals,978-100-000-054-8,2022-09-21,20.81,GBP
549,PHP in Action,978-100-000-054-9,2021-12-29,57.97,EUR
550,Kotlin Handbook,978-100-000-055-0,2020-04-02,53.63,EUR
551,Rust Cookbook,978-100-000-055-1,2020-04-09,47.71,GBP
552,Ruby Handbook,978-100-000-055-2,2021-07-09,72.88,USD
553,AWS Essentials,978-100-000-055-3,2020-09-12,38.40,GBP
554,C# Essentials,978-100-000-055-4,2020-01-05,24.22,GBP
555,Angular Crash Course,978-100-000-055-5,2020-12-17,86.03,EUR
556,Elixir Cookbook,978-100-000-055-6,2020-12-01,54.73,GBP
557,Azure in 24 Hours,978-100-000-055-7,2022-09-04,69.01,GBP
558,Django Fundamentals,978-100-000-055-8,2021-03-02,29.03,EUR
559,AWS Patterns,978-100-000-055-9,2022-01-07,30.20,USD
560,Spring Essentials,978-100-000-056-0,2022-01-12,75.01,GBP
561,Laravel Advanced,978-100-000-056-1,2022-01-16,81.99,USD
562,AWS Deep Dive,978-100-000-056-2,2020-02-21,97.84,USD
563,Spring Handbook,978-100-000-056-3,2020-04-14,54.18,EUR
564,AI Deep Dive,978-100-000-056-4,2020-11-08,99.95,GBP
565,Python Deep Dive,978-100-000-056-5,2021-05-02,89.00,EUR
566,Haskell Handbook,978-100-000-056-6,2020-04-18,24.29,USD
567,Django Handbook,978-100-000-056-7,2022-02-15,21.79,GBP
568,Scala Fundamentals,978-100-000-056-8,2022-02-19,28.22,EUR
569,C# Patterns,978-100-000-056-9,2022-01-13,28.34,GBP
570,PHP Advanced,978-100-000-057-0,2021-02-05,61.84,EUR
571,Ruby Cookbook,978-100-000-057-1,2021-06-09,15.62,USD
572,Elixir for Beginners,978-100-000-057-2,2022-05-14,39.71,GBP
573,Ruby Mastery,978-100-000-057-3,2022-06-09,64.15,USD
574,Go Fundamentals,978-100-000-057-4,2022-05-22,58.43,USD
575,Angular Deep Dive,978-100-000-057-5,2021-05-13,60.85,EUR
576,PHP Essentials,978-100-000-057-6,2021-06-29,86.13,EUR
577,Docker in 24 Hours,978-100-000-057-7,2020-06-27,91.66,USD
578,Vue in Action,978-100-000-057-8,2020-08-19,22.38,GBP
579,DevOps Patterns,978-100-000-057-9,2020-04-28,24.72,EUR
580,JavaScript Patterns,978-100-000-058-0,2020-10-20,84.81,GBP
581,DevOps Guide,978-100-000-058-1,2020-06-05,58.71,USD
582,Java Patterns,978-100-000-058-2,2022-02-19,50.92,USD
583,AWS Crash Course,978-100-000-058-3,2021-09-23,20.34,EUR
584,React Native Patterns,978-100-000-058-4,2022-02-15,15.87,EUR
585,Python Handbook,978-100-000-058-5,2022-06-20,46.02,GBP
586,JavaScript Handbook,978-100-000-058-6,2021-07-21,50.23,EUR
587,Angular Mastery,978-100-000-058-7,2021-12-22,84.99,USD
588,Rust in Action,978-100-000-058-8,2022-05-15,31.96,EUR
589,GCP for Beginners,978-100-000-058-9,2022-05-09,33.50,GBP
590,React in Action,978-100-000-059-0,2021-04-27,47.62,USD
591,TypeScript Deep Dive,978-100-000-059-1,2021-04-24,32.06,GBP
592,C++ Mastery,978-100-000-059-2,2021-09-25,49.67,USD
593,C++ Handbook,978-100-000-059-3,2020-08-14,66.18,EUR
594,React in 24 Hours,978-100-000-059-4,2022-04-05,76.36,USD
595,Rust Patterns,978-100-000-059-5,2022-09-20,28.93,EUR
596,TypeScript Essentials,978-100-000-059-6,2021-12-20,37.12,USD
597,Swift Crash Course,978-100-000-059-7,2020-08-04,22.50,GBP
598,Swift Essentials,978-100-000-059-8,2021-01-16,86.66,USD
599,Machine Learning Demystified,978-100-000-059-9,2020-09-22,58.08,USD
600,Data Science Cookbook,978-100-000-060-0,2020-09-09,34.70,USD
601,React Native Deep Dive,978-100-000-060-1,2020-03-25,93.09,GBP
602,Vue in 24 Hours,978-100-000-060-2,2021-08-15,21.63,USD
603,AI Fundamentals,978-100-000-060-3,2020-01-30,48.27,GBP
604,Kotlin Essentials,978-100-000-060-4,2020-04-11,61.81,GBP
605,Data Science Essentials,978-100-000-060-5,2021-12-13,90.32,EUR
606,Python in Action,978-100-000-060-6,2020-04-29,17.77,GBP
607,Kubernetes Guide,978-100-000-060-7,2022-06-03,23.81,USD
608,Elixir Guide,978-100-000-060-8,2021-12-05,50.42,EUR
609,C# Guide,978-100-000-060-9,2020-04-18,40.42,USD
610,Django Crash Course,978-100-000-061-0,2022-07-14,55.60,EUR
611,Java Patterns,978-100-000-061-1,2021-06-29,55.61,USD
612,AWS Demystified,978-100-000-061-2,2020-03-26,18.36,EUR
613,Kubernetes for Beginners,978-100-000-061-3,2021-09-06,72.36,EUR
614,Flask Patterns,978-100-000-061-4,2021-03-17,18.93,USD
615,C++ Handbook,978-100-000-061-5,2020-12-18,88.08,GBP
616,Scala Fundamentals,978-100-000-061-6,2021-02-16,40.01,EUR
617,Go Handbook,978-100-000-061-7,2020-04-26,26.03,GBP
618,Scala Deep Dive,978-100-000-061-8,2022-08-01,50.40,USD
619,Scala in Action,978-100-000-061-9,2022-07-03,59.98,EUR
620,Python Mastery,978-100-000-062-0,2020-06-16,88.74,GBP
621,Python Handbook,978-100-000-062-1,2020-12-31,11.50,GBP
622,Angular Essentials,978-100-000-062-2,2022-09-18,42.60,EUR
623,DevOps Essentials,978-100-000-062-3,2022-07-09,38.47,EUR
624,React Native Cookbook,978-100-000-062-4,2020-07-29,70.13,GBP
625,Docker Fundamentals,978-100-000-062-5,2021-08-16,99.70,USD
626,TypeScript for Beginners,978-100-000-062-6,2022-02-13,92.55,EUR
627,Ruby in Action,978-100-000-062-7,2020-03-05,40.69,GBP
628,Data Science in 24 Hours,978-100-000-062-8,2020-03-10,14.93,GBP
629,React Native Advanced,978-100-000-062-9,2021-01-07,76.79,USD
630,React Native Patterns,978-100-000-063-0,2021-05-02,54.42,EUR
631,DevOps Demystified,978-100-000-063-1,2021-04-18,53.39,GBP
632,C# in 24 Hours,978-100-000-063-2,2021-03-01,46.02,EUR
633,Azure Fundamentals,978-100-000-063-3,2021-01-22,61.25,GBP
634,C++ Cookbook,978-100-000-063-4,2020-06-27,34.51,USD
635,Swift Cookbook,978-100-000-063-5,2022-04-06,22.38,GBP
636,DevOps Mastery,978-100-000-063-6,2020-07-15,75.15,EUR
637,Laravel Mastery,978-100-000-063-7,2020-07-03,96.67,EUR
638,TypeScript Deep Dive,978-100-000-063-8,2020-02-12,23.14,USD
639,Kubernetes in 24 Hours,978-100-000-063-9,2021-02-27,98.00,USD
640,Kubernetes in Action,978-100-000-064-0,2021-09-24,28.57,USD
641,GCP Advanced,978-100-000-064-1,2022-01-06,13.94,USD
642,Rust Demystified,978-100-000-064-2,2021-08-09,83.91,GBP
643,Java for Beginners,978-100-000-064-3,2020-04-21,38.95,EUR
644,Ruby Guide,978-100-000-064-4,2022-05-17,38.97,GBP
645,Swift Advanced,978-100-000-064-5,2021-11-27,85.46,USD
646,C++ for Beginners,978-100-000-064-6,2020-04-14,15.10,GBP
647,Docker Essentials,978-100-000-064-7,2020-04-05,24.12,USD
648,Cybersecurity Cookbook,978-100-000-064-8,2022-02-12,58.99,GBP
649,Scala Demystified,978-100-000-064-9,2021-11-27,62.16,USD
650,Laravel for Beginners,978-100-000-065-0,2020-10-15,11.81,USD
651,Rust Advanced,978-100-000-065-1,2020-04-28,84.52,GBP
652,PHP Handbook,978-100-000-065-2,2020-08-02,40.20,GBP
653,Erlang Cookbook,978-100-000-065-3,2022-05-31,52.24,GBP
654,Spring for Beginners,978-100-000-065-4,2021-12-08,54.43,GBP
655,Rust Handbook,978-100-000-065-5,2020-08-08,56.95,GBP
656,Kotlin Mastery,978-100-000-065-6,2021-07-18,19.29,EUR
657,Kubernetes Fundamentals,978-100-000-065-7,2020-06-08,16.75,USD
658,Python Patterns,978-100-000-065-8,2020-03-12,80.53,USD
659,Swift Cookbook,978-100-000-065-9,2020-10-06,89.68,GBP
660,JavaScript Deep Dive,978-100-000-066-0,2021-03-17,16.70,EUR
661,Spring Guide,978-100-000-066-1,2021-09-12,33.08,EUR
662,C++ Deep Dive,978-100-000-066-2,2021-11-17,79.34,GBP
663,Java Patterns,978-100-000-066-3,2021-11-09,34.02,USD
664,React in 24 Hours,978-100-000-066-4,2022-05-12,93.83,EUR
665,Erlang for Beginners,978-100-000-066-5,2020-10-14,69.99,USD
666,Python Patterns,978-100-000-066-6,2021-08-02,24.67,GBP
667,Kubernetes in 24 Hours,978-100-000-066-7,2020-11-05,58.08,USD
668,Scala Deep Dive,978-100-000-066-8,2020-09-04,81.19,GBP
669,Haskell in Action,978-100-000-066-9,2021-05-01,17.55,GBP
670,TypeScript in 24 Hours,978-100-000-067-0,2022-01-09,15.96,GBP
671,Vue Handbook,978-100-000-067-1,2022-06-01,37.54,GBP
672,Flask for Beginners,978-100-000-067-2,2022-05-16,46.24,USD
673,Docker Patterns,978-100-000-067-3,2022-07-31,37.53,EUR
674,React Native Essentials,978-100-000-067-4,2021-06-16,94.53,GBP
675,Docker in Action,978-100-000-067-5,2021-08-12,19.34,GBP
676,C# Mastery,978-100-000-067-6,2021-10-20,15.12,USD
677,Blockchain Cookbook,978-100-000-067-7,2021-01-29,83.69,USD
678,Swift in Action,978-100-000-067-8,2021-02-28,51.73,EUR
679,Data Science Cookbook,978-100-000-067-9,2020-04-16,58.63,GBP
680,Go Cookbook,978-100-000-068-0,2020-10-23,42.32,EUR
681,C++ Demystified,978-100-000-068-1,2020-03-01,89.99,USD
682,Go in Action,978-100-000-068-2,2020-04-17,29.36,GBP
683,PHP Essentials,978-100-000-068-3,2021-05-25,58.07,EUR
684,C# in 24 Hours,978-100-000-068-4,2021-06-21,32.97,GBP
685,Vue Essentials,978-100-000-068-5,2022-03-17,80.89,USD
686,Django Demystified,978-100-000-068-6,2021-03-16,25.45,USD
687,PHP Fundamentals,978-100-000-068-7,2021-03-11,40.51,EUR
688,Django Deep Dive,978-100-000-068-8,2021-10-30,34.99,GBP
689,Azure Guide,978-100-000-068-9,2021-02-23,57.40,GBP
690,Swift Handbook,978-100-000-069-0,2021-11-04,94.38,GBP
691,Java Crash Course,978-100-000-069-1,2020-07-30,32.80,GBP
692,Data Science Patterns,978-100-000-069-2,2021-11-08,57.38,USD
693,Spring in 24 Hours,978-100-000-069-3,2020-02-25,18.64,EUR
694,Python Advanced,978-100-000-069-4,2022-01-23,89.54,EUR
695,React Native Demystified,978-100-000-069-5,2021-01-27,68.86,USD
696,React Guide,978-100-000-069-6,2022-09-06,79.38,GBP
697,GCP Demystified,978-100-000-069-7,2022-03-16,96.15,USD
698,Vue for Beginners,978-100-000-069-8,2022-04-15,90.18,GBP
699,Flask Guide,978-100-000-069-9,2022-05-31,74.03,EUR
700,Vue for Beginners,978-100-000-070-0,2021-09-25,38.67,EUR
701,Erlang Handbook,978-100-000-070-1,2020-01-14,55.50,GBP
702,Kubernetes Advanced,978-100-000-070-2,2021-04-29,74.54,USD
703,Ruby Deep Dive,978-100-000-070-3,2020-02-02,85.64,USD
704,C++ Handbook,978-100-000-070-4,2021-06-28,71.50,USD
705,Data Science Guide,978-100-000-070-5,2021-08-01,48.38,EUR
706,TypeScript Essentials,978-100-000-070-6,2022-04-08,51.68,EUR
707,TypeScript Patterns,978-100-000-070-7,2022-04-30,71.11,EUR
708,Go in Action,978-100-000-070-8,2021-07-02,44.83,GBP
709,Kotlin Guide,978-100-000-070-9,2020-04-05,85.86,USD
710,Ruby Essentials,978-100-000-071-0,2021-06-12,48.72,USD
711,Spring Deep Dive,978-100-000-071-1,2020-08-10,27.83,GBP
712,TypeScript Crash Course,978-100-000-071-2,2022-01-21,26.83,GBP
713,Data Science Essentials,978-100-000-071-3,2021-04-14,49.37,GBP
714,Swift Patterns,978-100-000-071-4,2022-05-12,13.49,EUR
715,Flask Cookbook,978-100-000-071-5,2021-02-13,99.57,USD
716,Scala Patterns,978-100-000-071-6,2020-11-17,31.31,EUR
717,Laravel in 24 Hours,978-100-000-071-7,2020-03-05,88.95,USD
718,Laravel Patterns,978-100-000-071-8,2021-01-09,68.87,GBP
719,Python Guide,978-100-000-071-9,2021-11-10,77.74,GBP
720,Spring Advanced,978-100-000-072-0,2022-09-17,95.48,EUR
721,Elixir Patterns,978-100-000-072-1,2022-02-17,26.77,EUR
722,AWS Mastery,978-100-000-072-2,2021-04-21,52.82,EUR
723,GCP Deep Dive,978-100-000-072-3,2022-01-17,97.42,GBP
724,C# Guide,978-100-000-072-4,2022-07-12,51.72,GBP
725,DevOps Crash Course,978-100-000-072-5,2021-08-27,10.21,EUR
726,AWS Cookbook,978-100-000-072-6,2021-10-30,96.92,GBP
727,Blockchain Demystified,978-100-000-072-7,2020-09-08,26.38,EUR
728,React for Beginners,978-100-000-072-8,2021-04-25,46.59,GBP
729,Haskell Crash Course,978-100-000-072-9,2022-02-25,34.50,EUR
730,React Native Advanced,978-100-000-073-0,2021-07-24,31.02,EUR
731,JavaScript Cookbook,978-100-000-073-1,2022-01-17,14.42,GBP
732,Haskell Crash Course,978-100-000-073-2,2021-11-09,66.02,EUR
733,Flutter Patterns,978-100-000-073-3,2022-01-02,79.54,EUR
734,Flutter Fundamentals,978-100-000-073-4,2020-03-25,72.12,GBP
735,Flutter for Beginners,978-100-000-073-5,2022-05-13,65.94,EUR
736,Python in Action,978-100-000-073-6,2020-09-02,64.99,EUR
737,Blockchain in 24 Hours,978-100-000-073-7,2022-08-05,96.82,EUR
738,Vue Demystified,978-100-000-073-8,2020-10-05,81.24,GBP
739,Go in 24 Hours,978-100-000-073-9,2022-09-21,28.95,USD
740,Docker Essentials,978-100-000-074-0,2020-10-14,50.53,EUR
741,Kotlin Handbook,978-100-000-074-1,2021-02-27,92.50,GBP
742,Elixir for Beginners,978-100-000-074-2,2022-05-02,90.58,GBP
743,Machine Learning Guide,978-100-000-074-3,2021-06-14,69.04,USD
744,PHP for Beginners,978-100-000-074-4,2021-08-04,93.04,GBP
745,C# Advanced,978-100-000-074-5,2022-04-04,49.41,GBP
746,Blockchain Demystified,978-100-000-074-6,2020-07-26,52.10,EUR
747,Spring in Action,978-100-000-074-7,2022-07-27,96.49,GBP
748,Cybersecurity Deep Dive,978-100-000-074-8,2022-06-15,12.75,EUR
749,GCP in Action,978-100-000-074-9,2021-12-18,58.33,USD
750,Data Science Mastery,978-100-000-075-0,2020-02-21,82.57,EUR
751,Cybersecurity Crash Course,978-100-000-075-1,2021-09-06,33.32,EUR
752,C++ Deep Dive,978-100-000-075-2,2020-02-03,39.80,EUR
753,Data Science Guide,978-100-000-075-3,2021-08-05,76.86,USD
754,Scala Essentials,978-100-000-075-4,2022-08-09,43.88,USD
755,AI Mastery,978-100-000-075-5,2022-09-19,58.69,USD
756,Spring Patterns,978-100-000-075-6,2020-03-26,15.53,GBP
757,Angular Advanced,978-100-000-075-7,2021-12-31,22.12,GBP
758,PHP Handbook,978-100-000-075-8,2021-01-18,91.97,USD
759,TypeScript Crash Course,978-100-000-075-9,2020-02-21,32.39,GBP
760,Blockchain Fundamentals,978-100-000-076-0,2020-02-21,28.92,EUR
761,TypeScript Mastery,978-100-000-076-1,2022-07-30,78.75,GBP
762,TypeScript Deep Dive,978-100-000-076-2,2020-06-18,38.70,EUR
763,Angular Advanced,978-100-000-076-3,2021-06-26,92.52,GBP
764,Machine Learning Deep Dive,978-100-000-076-4,2022-09-25,20.75,EUR
765,AWS for Beginners,978-100-000-076-5,2022-01-20,29.51,USD
766,Swift Fundamentals,978-100-000-076-6,2022-02-08,84.31,EUR
767,Erlang in Action,978-100-000-076-7,2021-05-09,73.37,GBP
768,Kotlin Crash Course,978-100-000-076-8,2021-03-22,32.08,GBP
769,Cybersecurity Essentials,978-100-000-076-9,2022-04-19,10.97,EUR
770,AWS Guide,978-100-000-077-0,2021-06-13,25.68,GBP
771,Vue Guide,978-100-000-077-1,2020-08-15,61.77,EUR
772,Ruby Essentials,978-100-000-077-2,2020-11-27,55.30,USD
773,Python Handbook,978-100-000-077-3,2020-04-04,19.54,EUR
774,Laravel Fundamentals,978-100-000-077-4,2021-03-08,44.39,GBP
775,C++ Mastery,978-100-000-077-5,2021-08-20,73.57,GBP
776,C# Advanced,978-100-000-077-6,2021-03-09,67.36,GBP
777,AI in 24 Hours,978-100-000-077-7,2020-11-07,12.67,EUR
778,Laravel in Action,978-100-000-077-8,2022-06-16,47.41,USD
